,id,name,all_time_quantity_sold,price,store_id,discount,discount_rate,images,inventory_status,list_price,original_price,rating_average,review_count
51,194960721,Blue Period - Tập 03,1417,36000,40395,12000,25,https://salt.tikicdn.com/ts/product/f4/bf/cd/1f6a6e54c2951ba8b1411f2dc4360e51.png,1,48000,48000,5.0,256
52,3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),32538,63000,40395,42000,40,https://salt.tikicdn.com/ts/product/5f/87/cb/d6660f4ff53fe0889b38a817cd62e7b0.png,1,105000,105000,5.0,4665
53,10095276,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,8793,70100,40395,19900,22,https://salt.tikicdn.com/ts/product/e9/f6/23/cee87c1cde913c9cf27757b09c88a6e5.png,1,90000,90000,4.8,705
54,113530805,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),10054,67400,40395,22600,25,https://salt.tikicdn.com/ts/product/1c/23/9d/60897f8c95577344740d489720ca900b.jpg,1,90000,90000,4.8,1489
55,270183212,Kỹ Năng Viết Cho Người Hành Nghề Luật,41,275000,10577,15000,5,https://salt.tikicdn.com/ts/product/d7/c4/c3/8642659cee2a2b430ec6448ee97a88fe.jpg,1,290000,290000,5.0,4
56,249009518,"Sổ kế hoạch planner 18 tháng 2023-2024 SDstationery DREAM CRAFTER 48 trang 16,5x20,5cm",107,19500,122,19500,50,https://salt.tikicdn.com/ts/product/55/cb/1b/ca6df9ada35fb8a9c57e5168542b0019.jpg,1,39000,39000,5.0,6
57,7823190,Kiến Trúc Thú Vị,360,63800,40395,21200,25,https://salt.tikicdn.com/ts/product/4e/76/e2/64a6f42733e32207232b335bf83ca508.png,1,85000,85000,4.5,13
58,53434797,Sách Tài Chính Cá Nhân Cho Người Việt Nam - Tặng Khóa học Online về Tài chính,13635,200000,108492,0,0,https://salt.tikicdn.com/ts/product/29/f0/ad/2d35f5288ea643e3768c8f3361cafa5a.jpg,1,200000,200000,4.7,1787
59,274275280,So Sánh Luật Đất Đai  năm 2013 và năm 2024,7,260000,10577,165000,39,https://salt.tikicdn.com/ts/product/df/02/66/28731c1397b786243daa2cb3f9a2d145.jpeg,1,425000,425000,0.0,0
60,168283405,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),6563,115000,40395,50000,30,https://salt.tikicdn.com/ts/product/39/03/01/b4a8bd3e0d57d77693d0a132e763593e.jpg,1,165000,165000,5.0,751
61,161008715,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),6040,122000,40395,57000,32,https://salt.tikicdn.com/ts/product/04/31/31/2f02dca0ba3ed200b6d1f22606842fac.jpg,1,179000,179000,5.0,537
62,54614797,"Có Một Ngày, Bố Mẹ Sẽ Già Đi",12673,62300,40395,33700,35,https://salt.tikicdn.com/ts/product/a7/cf/fe/673ac209192c0a49ed844f58ebbdb708.png,1,96000,96000,4.8,2412
